id,name,phone,latitude,longitude,ward,constituency,town,verified
1,Farmland Agrovet,0722345678,-0.6542,36.5744,Engineer,Kinangop,Engineer,Yes
2,Smart Agrovet,0711000999,-0.6545,36.5750,Engineer,Kinangop,Engineer,Yes
3,Avanna Agrovet,0728444888,-0.6530,36.5735,Engineer,Kinangop,Engineer,Yes
4,Mchungaji Agrovet,0721444555,-0.6540,36.5760,Engineer,Kinangop,Engineer,Yes
5,Kinangop Dairy Ltd,0711791548,-0.6535,36.5720,Engineer,Kinangop,Engineer,Yes
6,Afya Agrovet,0720444555,-0.6550,36.5770,Engineer,Kinangop,Engineer,Yes
7,Engineers Choice Agro,0720000001,-0.6540,36.5740,Engineer,Kinangop,Engineer,Yes
8,Kinangop Farm Best,0720000002,-0.6550,36.5760,Engineer,Kinangop,Engineer,Yes
9,Nehema Feeds,0701352326,-0.6800,36.6200,Gathara,Kinangop,Gathara,Yes
10,Tulaga Agrovet,0701352327,-0.6920,36.6150,Gathara,Kinangop,Tulaga,Yes
11,Peak Farm Inputs,0701352328,-0.6790,36.6250,Gathara,Kinangop,Gathara,Yes
12,Gathara Farmers,0701352329,-0.6815,36.6220,Gathara,Kinangop,Gathara,Yes
13,High Yield Gathara,0701352330,-0.6810,36.6210,Gathara,Kinangop,Gathara,Yes
14,Sasumua Gate Vet,0701352331,-0.6850,36.6300,Gathara,Kinangop,Gathara,Yes
15,Gathara Super Feed,0720000003,-0.6810,36.6210,Gathara,Kinangop,Gathara,Yes
16,South Kinangop Vet,0720000004,-0.6840,36.6260,Gathara,Kinangop,Gathara,Yes
17,Rena Agrovet,0722111222,-0.6050,36.6120,North Kinangop,Kinangop,Ndunyu Njeru,Yes
18,Kelamon Agrovet,0722000111,-0.6055,36.6130,North Kinangop,Kinangop,Ndunyu Njeru,Yes
19,Mifugo Agrovet,0722111223,-0.6060,36.6110,North Kinangop,Kinangop,Ndunyu Njeru,Yes
20,J.N. Agrovet Centre,0722111224,-0.6045,36.6100,North Kinangop,Kinangop,Ndunyu Njeru,Yes
21,Ndunyu Farmers,0722111225,-0.6052,36.6125,North Kinangop,Kinangop,Ndunyu Njeru,Yes
22,Rabbit Urine North,0722111226,-0.6070,36.6150,North Kinangop,Kinangop,Ndunyu Njeru,Yes
